step,dx,dz,volume,liquid_class,time,source,step_index,step_group_index,previous_step_index
Step1,3,5,1,water,2,"CS031,CS034",1,1,0
Step2,3,5,3,pbst,4,"D001-N1,D001-P1,D002-N1,D002-P1,D003-N1,D003-P1",2,2,1
Step3,3,5,5,imaging,6,camera,3,3,2
