source,volume_total,from_plate,from_well,step,step_index,volume_ul
ABI-131-N1,64.0,ivl_384_flat_v1_0001,1,Step2,2,24.0
ABI-131-P1,64.0,ivl_384_flat_v1_0001,3,Step2,2,24.0
CS031,64.0,ivl_384_flat_v1_0001,17,Step1,1,24.0
CS034,64.0,ivl_384_flat_v1_0001,19,Step1,1,24.0
D004-N1,64.0,ivl_384_flat_v1_0001,5,Step2,2,24.0
D004-P1,64.0,ivl_384_flat_v1_0001,7,Step2,2,24.0
R007-N1,64.0,ivl_384_flat_v1_0001,9,Step2,2,24.0
R007-P1,64.0,ivl_384_flat_v1_0001,11,Step2,2,24.0
camera,300.0,ivl_96_dw_v1_0001,1,Step3,3,240.0
