solution,plate_well,user_input
CS031,ivl_384_flat_v1_0001|1,64.0
D001-N1,ivl_384_flat_v1_0001|17,64.0
D001-P1,ivl_384_flat_v1_0001|19,64.0
D002-N1,ivl_384_flat_v1_0001|21,64.0
D002-P1,ivl_384_flat_v1_0001|23,64.0
D003-N1,ivl_384_flat_v1_0001|25,64.0
D003-P1,ivl_384_flat_v1_0001|27,64.0
CS034,ivl_384_flat_v1_0001|3,64.0
camera,ivl_96_dw_v1_0001|1,300.0
